Currency,CashBuyRate,CashBuyRateSpread,CashSellRate,CashSellRateSpread
미국 USD,"1,245.92",1.75,"1,203.08",1.75
일본 JPY (100),"1,004.94",1.75,970.38,1.75
유로 EUR,"1,356.39",1.99,"1,303.47",1.99
중국 CNY,202.11,5.00,182.87,5.00
홍콩 HKD,159.31,1.97,153.17,1.97
태국 THB,38.27,5.00,34.27,6.00
대만 TWD,47.94,13.10,39.43,7.00
필리핀 PHP,26.14,10.00,21.83,8.20
싱가포르 SGD,916.12,1.99,880.38,1.99
호주 AUD,934.90,1.97,898.78,1.97
베트남 VND (100),5.99,11.80,4.73,11.80
영국 GBP,"1,631.82",1.97,"1,568.78",1.97
캐나다 CAD,992.73,1.97,954.39,1.97
말레이시아 MYR,308.48,6.30,268.73,7.40
러시아 RUB,16.76,9.50,12.64,17.50
남아공화국 ZAR,87.90,6.00,76.30,8.00
노르웨이 NOK,142.42,2.45,135.62,2.45
뉴질랜드 NZD,860.17,1.97,826.95,1.97
덴마크 DKK,183.21,2.45,174.45,2.45
멕시코 MXN,66.84,10.00,55.67,8.40
몽골 MNT,0.00,0.00,0.00,0.00
바레인 BHD,"3,455.52",6.40,"2,987.86",8.00
방글라데시 BDT,0.00,0.00,0.00,0.00
브라질 BRL,283.88,10.20,237.01,8.00
브루나이 BND,934.18,4.00,844.36,6.00
사우디아라비아 SAR,347.03,6.30,303.95,6.90
스리랑카 LKR,0.00,0.00,0.00,0.00
스웨덴 SEK,132.72,2.45,126.38,2.45
스위스 CHF,"1,336.00",1.97,"1,284.38",1.97
아랍에미리트공화국 AED,351.70,5.50,310.37,6.90
알제리 DZD,0.00,0.00,0.00,0.00
오만 OMR,"3,463.76",8.90,"2,989.84",6.00
요르단 JOD,"1,880.79",8.90,"1,588.92",8.00
이스라엘 ILS,416.80,10.00,348.60,8.00
이집트 EGP,0.00,0.00,0.00,0.00
인도 INR,0.00,0.00,0.00,0.00
인도네시아 IDR (100),9.14,7.00,7.70,10.00
체코 CZK,58.87,8.50,49.38,9.00
칠레 CLP,1.64,8.00,1.40,8.00
카자흐스탄 KZT,0.00,0.00,0.00,0.00
카타르 QAR,0.00,0.00,0.00,0.00
케냐 KES,0.00,0.00,0.00,0.00
콜롬비아 COP,0.00,0.00,0.00,0.00
쿠웨이트 KWD,"4,277.54",6.50,"3,695.16",8.00
탄자니아 TZS,0.00,0.00,0.00,0.00
터어키 TRY,0.00,0.00,0.00,0.00
파키스탄 PKR,0.00,0.00,0.00,0.00
폴란드 PLN,309.74,8.00,263.86,8.00
헝가리 HUF,3.83,9.30,3.23,8.00
